,Bias voltage [V],Bias voltage [V] error,Alpha Pulse Amplitude [V],Alpha Pulse Amplitude [V] error
0,28.5,0.08625000000000001,0.028009033970152898,3.249707741529069e-05
1,29.0,0.0875,0.08727488009828935,7.764165446026013e-05
2,29.5,0.08875,0.15568700458584298,6.473247139000486e-05
3,30.0,0.09,0.23198482967127615,8.48870606426965e-05
4,30.5,0.09125,0.31267505382916255,0.00015149064513088686
5,31.0,0.0925,0.40818662643256276,0.00018905592378484664
6,31.5,0.09375,0.5160954304598626,0.0002795306551075519
7,32.0,0.095,0.6410273882344782,0.00028145685731121765
8,32.5,0.09625,0.7827084721934965,0.0005078297668612443
9,33.0,0.0975,0.9554176824886271,0.0004881016336482213
10,33.5,0.09875,1.1629936034079476,0.0007274367637879921
11,34.0,0.1,1.4041173969096357,0.0010871221927317449
12,34.5,0.10125,1.7229636600884872,0.0012238012413472955
13,35.0,0.10250000000000001,2.1301697146593717,0.0011186026142756948
14,35.5,0.10375,2.629829172763848,0.0011383565502673797
15,36.0,0.105,3.2306190926509135,0.0015761990190051199
